Producer Name,Yield,Square footage of facility:,Square footage of facility used for production:,avg kWh/day,avgkWh/ft,Square footage of flowering canopy:,LIGHTING | NUMBER OF LIGHTS,LIGHTING | WATTS,LIGHTING | HOURS PER DAY,HEATING/COOLING | WATTS,HEATING/COOLING | HOURS PER DAY,HEATING/COOLING | NUMBER OF UNITS,VENTILATION | WATTS,VENTILATION | HOURS PER DAY,VENTILATION | NUMBER OF UNITS,LIGHTING | NUMBER OF LIGHTS,LIGHTING | WATTS,LIGHTING | HOURS PER DAY,HEATING/COOLING | WATTS,HEATING/COOLING | HOURS PER DAY,HEATING/COOLING | NUMBER OF UNITS,VENTILATION | WATTS,VENTILATION | HOURS PER DAY,VENTILATION | NUMBER OF UNITS,DRYING EQUIPMENT | WATTS,DRYING EQUIPMENT | HOURS PER DAY,HEATING/COOLING | WATTS,HEATING/COOLING | HOURS PER DAY,HEATING/COOLING | NUMBER OF UNITS,DEHUMIDIFICATION | NUMBER OF UNITS,HUMIDIFICATION | NUMBER OF UNITS,VENTILATION | WATTS,VENTILATION | HOURS PER DAY,VENTILATION | NUMBER OF UNITS,,,,,,,,,,,,,,,
Lucid Forest (Trichome Forest LLC),,,,,,100,3,630 per light,18hrs/Day/Light,,,0,,,1 Fan,10,Phantom 10000w,12hrs/Light/Day,,,0,,,4,,,,,0,1,0,,,0,,,,,,,,,,,,,,,
Mindful,,5000,1440,,,64,,2000,18,4730,9,,60,24,,,4000,12,4730,6,,120,24,,828,12,,,,,,230,24,,,,,,,,,,,,,,,,
Mindful,,5000,1440,,,64,,2000,18,4730,9,,60,24,,,4000,12,4730,6,,120,24,,828,12,,,,,,230,24,,,,,,,,,,,,,,,,
Nelson & Company LLC,,,,,,16 sqft,2,435 watt on high setting,18 hours on 6 hours off for veg,,,fresh air intake and heat from lights,,,6 inch inline fan,2,600 watts,12 hours on 12 hours off,,,none,,,6 inch can fan air-cooled hoods,,,,,none,none,none,,,6 inch can fan attached to can air filter,,,,,,,,,,,,,,,
Nelson & Company LLC,,,,,,16 sqft,2,435 watt on high setting,18 hours on 6 hours off for veg,,,fresh air intake and heat from lights,,,6 inch inline fan,2,600 watts,12 hours on 12 hours off,,,none,,,6 inch can fan air-cooled hoods,,,,,none,none,none,,,6 inch can fan attached to can air filter,,,,,,,,,,,,,,,
sofresh farms,,,,,,Unknown,128,52,18,,Unknown veg greenhouse heater is thermostatically controlled. Depends on outside temperature/sun. Estimate 6 hours per day?,We have a propane greenhouse heater and 3 x 20" exhaust fans in our veg greenhouse,Unknown depends on outside ambient temperature. Fan motor is 1/3 HP and operates at 110v for a couple hours per day estimated average.,2,3,51,1000w,Depends on available sun max 12 hours per day during flower and 18 during veg time in flowering environment some days the lights are not turned on at all.,Unknown 25 amp circuit capacity 36000 BTU heat 33200 BTU cooling,12 hours? Thermostat controlled estimate that is influenced by outside conditions,150k btu propane greenhouse heater 50k btu backup heater used on cold nights.,,,3,Unknown all equipment is thermostatically controlled and changes with outside conditions.,Unknown all equipment is thermostatically controlled and changes with outside conditions.,Unknown 12k BTU worth of A/C watts consumed,Unknown thermostatically controlled.,1 Propane heater 1 Dehumidifier and 1 fan,1,only use this when it is cold and dry not sure if it was used during this two week drying period.,115v 1.3 amps = ? watts,24,NA,,,,,,,,,,,,,,,
Ten Four Farms,,2500,600,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ten Four Farms,,2500,600,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top Grade Medical,,44000,400,,,100,,,,,,,0,2,,,,,,,,,,,0,glass jars after hanging for a week.,?,24 hr curing process,42770,?,,?,24,,,,,,,,,,,,,,,,
Trichome Farms,1.3 pounds,,,,,20 square feet (this was a test run on the strain),1,400 Watts,18 hours on 6 off,,,1,,,2,1,1000W,12 hours on 12 off,,,window unit in the room for hotter days but in the winter time the room runs on ventilation only,,,4,,,,,1 small heater,1,0,,,0,,,,,,,,,,,,,,,
Yerba Buena,,14000 square feet,8000 square feet,,,24,,216 watts,18,exact number unattainable,18,,150 watts,20,,,12000 watts,12,specific number not available,12,,150 watts,24,,Information not calculable,24,Impossible to calculate,24,,,,800 watts total ventilation,24,,,,,,,,,,,,,,,,
Yerba Buena,,14000 square feet,8000 square feet,,,,,216 watts,18,exact number unattainable,18,,150 watts,20,,,12000 watts,12,specific number not available,12,,150 watts,24,,Information not calculable,24,Impossible to calculate,24,,,,800 watts total ventilation,24,,,,,,,,,,,,,,,,
Cannassentials,,,,656,0.0656,240,1,1000,18,,,none,,,1,6,1000W,12,,,2,,,3,,,,,1,0,1,,,1,,,,,,,,,,,,,,,
Cannassentials,,,,656,0.0656,80,1,1000,18,,,none,,,1,6,1000W,13,,,2,,,3,,,,,1,1,1,,,1,,,,,,,,,,,,,,,
Cheshire Kind,,900 sq ft,50 sq ft,,,50,,0,0,none,none,,0,0,,,none,none,none,none,,400 watts,2 hours,,736 watts,24 hours dehumidifier kicked on only when humidity was over 50%,none,none,43028,none,,100 watts,less then 1,,,,,,,,,,,,,,,,
Cheshire Kind,,900 sq ft,50 sq ft,,,50,,0,0,none,none,,0,0,,,none,none,none,none,,400 watts,2 hours,,736 watts,24 hours dehumidifier kicked on only when humidity was over 50%,none,none,43028,none,,100 watts,less then 1,,,,,,,,,,,,,,,,
High County Organic Farms,,,,,,300,2,54,18,,,0,,,0,0,N/A,N/A,,,0,,,0,,,,,0,1,0,,,0,,,,,,,,,,,,,,,
sofresh farms,,,,,,Unknown,128,52,18,,,We have a propane greenhouse heater and 3 x 20" exhaust fans in our veg greenhouse,,,3,51,1000w,Depends on available sun max 12 hours per day during flower and 18 during veg time in flowering environment some days the lights are not turned on at all.,,,150k btu propane greenhouse heater 50k btu backup heater used on cold nights.,,,3,,,,,1 Propane heater 1 Dehumidifier and 1 fan,1,only use this when it is cold and dry not sure if it was used during this two week drying period.,,,NA,,,,,,,,,,,,,,,
Trichome Farms,34,,,,,1000,8,8 lights at 400W each is 3200W,18 hours on 6 off,,,1 Furnace,,,2,18,12 units of 1000W Phantom DE dual ended 6 units of 1000W single ended,12 hours all on and 12 hours all off,,,1,,,2,,,,,1,1,0,,,0,,,,,,,,,,,,,,,
Alter Farms,,,,,,972,8,354,18,,,na,,,1,0,na,na,,,na,,,na,,,,,1,4,0,,,0,,,,,,,,,,,,,,,
Alter Farms,,,,,,500,8,354,18,,,na,,,1,0,na,na,,,na,,,na,,,,,1,4,0,,,0,,,,,,,,,,,,,,,
Phantom Farms,,3000000,80000,,,450,,0,0,0,0,,0,0,,,OUTDOOR,OUTDOOR,OUTDOOR,OUTDOOR,,OUTDOOR,OUTDOOR,,4620,6,10800,6,42661,Daikin 15 Series,,Part of Heating/Cooling,Part of Heating/Cooling,,,,,,,,,,,,,,,,
Siskiyou Sungrown Farm,,5 acres,40000,,,500,,0,,0,,,0,NO,,,none,,none,,,0,NO,,24hrs/day,,N/A,,42675,N/A,,N/A,,,,,,,,,,,,,,,,,
Siskiyou Sungrown Farm,,5 acres,40000,,,5000,,0,,0,,,0,NO,,,none,,none,,,0,NO,,24hrs/day,,N/A,,42675,N/A,,N/A,,,,,,,,,,,,,,,,,
